Fecha;Año;Mes;Residencia;Ambito;Promedio de Estancia Media;Total Pernoctaciones;Total Viajeros;Acumulado Año;Variación Año Anterior;Var. % Año Anterior;Variación Periodo Anterior;Var. % Periodo Anterior
01/01/2018 0:00;2018;enero;Fuera de España;Nacional;4,16;9936282;2390570;2390570;60951;2,62%;46511;1,98%
01/01/2018 0:00;2018;enero;Fuera de España;Andalucía;2,82;1129956;401303;401303;5884;1,49%;15179;3,93%
01/01/2018 0:00;2018;enero;Fuera de España;Málaga REST;5,05;464754;91958;91958;7204;8,50%;7274;8,59%
01/01/2018 0:00;2018;enero;Fuera de España;Sevilla CAP;2,3;207092;89965;89965;3960;4,60%;6536;7,83%
01/01/2018 0:00;2018;enero;Fuera de España;Granada REST;2,3;55625;24140;24140;3962;19,64%;4440;22,54%
01/01/2018 0:00;2018;enero;Fuera de España;Sevilla REST;1,45;31209;21560;21560;-2137;-9,02%;2699;14,31%
01/01/2018 0:00;2018;enero;Total;Granada REST;2,16;178316;82499;82499;7907;10,60%;2649;3,32%
01/01/2018 0:00;2018;enero;Fuera de España;Huelva;4,24;24207;5713;5713;-510;-8,20%;2429;73,96%
01/01/2018 0:00;2018;enero;Fuera de España;Cádiz REST;2,68;77078;28714;28714;1985;7,43%;1312;4,79%
01/01/2018 0:00;2018;enero;Fuera de España;Málaga CAP;1,91;100162;52374;52374;4286;8,91%;1204;2,35%
01/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;1,89;9306;4924;4924;77;1,59%;1070;27,76%
01/01/2018 0:00;2018;enero;Fuera de España;Jaén;1,68;5499;3272;3272;91;2,86%;120;3,81%
01/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;2,32;2373;1025;1025;314;44,16%;-286;-21,82%
01/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;1,92;7173;3727;3727;391;11,72%;-407;-9,85%
01/01/2018 0:00;2018;enero;Fuera de España;Almería REST;4,92;31241;6350;6350;-304;-4,57%;-440;-6,48%
01/01/2018 0:00;2018;enero;Total;Cádiz CAP;1,96;27769;14162;14162;704;5,23%;-636;-4,30%
01/01/2018 0:00;2018;enero;España;Cádiz CAP;2;18463;9238;9238;627;7,28%;-1706;-15,59%
01/01/2018 0:00;2018;enero;España;Granada REST;2,1;122691;58359;58359;3945;7,25%;-1791;-2,98%
01/01/2018 0:00;2018;enero;Total;Sevilla REST;1,57;72067;45995;45995;-398;-0,86%;-2792;-5,72%
01/01/2018 0:00;2018;enero;España;Almería CAP;1,86;23692;12728;12728;455;3,71%;-2837;-18,23%
01/01/2018 0:00;2018;enero;Total;Almería CAP;1,88;30865;16455;16455;846;5,42%;-3244;-16,47%
01/01/2018 0:00;2018;enero;Total;Huelva;3,17;70885;22352;22352;-2932;-11,60%;-3508;-13,57%
01/01/2018 0:00;2018;enero;Fuera de España;Granada CAP;1,73;84526;48743;48743;-8246;-14,47%;-4090;-7,74%
01/01/2018 0:00;2018;enero;España;Córdoba REST;1,85;17708;9576;9576;-932;-8,87%;-4890;-33,80%
01/01/2018 0:00;2018;enero;Total;Córdoba REST;1,89;20081;10601;10601;-618;-5,51%;-5175;-32,80%
01/01/2018 0:00;2018;enero;Total;Málaga CAP;1,77;164357;92902;92902;10440;12,66%;-5394;-5,49%
01/01/2018 0:00;2018;enero;España;Sevilla REST;1,67;40858;24436;24436;1741;7,67%;-5490;-18,35%
01/01/2018 0:00;2018;enero;España;Granada CAP;1,79;129740;72535;72535;3363;4,86%;-5803;-7,41%
01/01/2018 0:00;2018;enero;España;Huelva;2,81;46679;16638;16638;-2423;-12,71%;-5938;-26,30%
01/01/2018 0:00;2018;enero;España;Málaga CAP;1,58;64195;40528;40528;6154;17,90%;-6598;-14,00%
01/01/2018 0:00;2018;enero;Fuera de España;Córdoba CAP;1,58;29712;18838;18838;-5188;-21,59%;-6681;-26,18%
02/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
02/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
02/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
02/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
02/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
02/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
03/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
03/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
03/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
03/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
03/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
03/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
04/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
04/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
04/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
04/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
04/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
04/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
05/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
05/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
05/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
05/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
05/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
05/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
06/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
06/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
06/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
06/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
06/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
06/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
07/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
07/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
07/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
07/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
